CCY_ISO,FX_RATE_DATE,FX_RATE,IMPORTATION_DATE,IMPORTED_BY
NGN,31-3-2019 00:00:00,1.00,27-5-2019 10:57:34,guillaume.marois
NGN,30-6-2019 00:00:00,1.00,3-6-2020 18:43:21,marco.putotto
NGN,30-9-2019 00:00:00,361.50,10-12-2019 16:29:45,Christophe.Fraulob
NGN,31-12-2019 00:00:00,362.92,27-2-2020 11:05:15,nawel.octave
NGN,31-3-2020 00:00:00,381.50,3-6-2020 19:22:17,marco.putotto
NGN,30-6-2020 00:00:00,386.58,7-9-2020 10:40:54,Kevin.Allamagbo
NGN,30-9-2020 00:00:00,385.50,24-11-2020 11:32:48,Kevin.Allamagbo
PEN,31-12-2017 00:00:00,3.24,6-8-2018 15:44:16,guillaume.marois
PEN,31-3-2018 00:00:00,3.22,6-8-2018 15:44:16,guillaume.marois
PEN,30-6-2018 00:00:00,3.27,24-10-2018 15:49:23,guillaume.marois
PEN,30-9-2018 00:00:00,3.26,13-11-2018 17:06:09,guillaume.marois
PEN,31-12-2018 00:00:00,3.37,11-2-2019 11:59:04,guillaume.marois
PEN,31-3-2019 00:00:00,3.24,27-5-2019 10:57:34,guillaume.marois
PEN,30-6-2019 00:00:00,3.24,3-6-2020 18:43:21,marco.putotto
PEN,30-9-2019 00:00:00,3.38,10-12-2019 16:29:45,Christophe.Fraulob
PEN,31-12-2019 00:00:00,3.31,27-2-2020 11:05:15,nawel.octave
PEN,31-3-2020 00:00:00,3.43,3-6-2020 19:22:17,marco.putotto
PEN,30-6-2020 00:00:00,3.53,7-9-2020 10:40:54,Kevin.Allamagbo
PEN,30-9-2020 00:00:00,3.59,24-11-2020 11:32:48,Kevin.Allamagbo
PLN,31-12-2017 00:00:00,3.47,6-8-2018 15:44:16,guillaume.marois
PLN,31-3-2018 00:00:00,3.42,6-8-2018 15:44:16,guillaume.marois
PLN,30-6-2018 00:00:00,3.74,24-10-2018 15:49:23,guillaume.marois
PLN,30-9-2018 00:00:00,3.68,13-11-2018 17:06:09,guillaume.marois
PLN,31-12-2018 00:00:00,3.75,11-2-2019 11:59:04,guillaume.marois
PLN,31-3-2019 00:00:00,3.83,27-5-2019 10:57:34,guillaume.marois
PLN,30-6-2019 00:00:00,3.72,3-6-2020 18:43:21,marco.putotto
PLN,30-9-2019 00:00:00,4.00,10-12-2019 16:29:45,Christophe.Fraulob
PLN,31-12-2019 00:00:00,3.78,27-2-2020 11:05:15,nawel.octave
PLN,31-3-2020 00:00:00,4.15,3-6-2020 19:22:17,marco.putotto
PLN,30-6-2020 00:00:00,3.95,7-9-2020 10:40:54,Kevin.Allamagbo
PLN,30-9-2020 00:00:00,3.86,24-11-2020 11:32:48,Kevin.Allamagbo
RUB,31-12-2017 00:00:00,57.57,6-8-2018 15:44:16,guillaume.marois
RUB,31-3-2018 00:00:00,57.50,6-8-2018 15:44:16,guillaume.marois
RUB,30-6-2018 00:00:00,58.17,24-10-2018 15:49:23,guillaume.marois
RUB,30-9-2018 00:00:00,58.17,13-11-2018 17:06:09,guillaume.marois
RUB,31-12-2018 00:00:00,69.37,11-2-2019 11:59:04,guillaume.marois
RUB,31-3-2019 00:00:00,58.17,27-5-2019 10:57:34,guillaume.marois
RUB,30-6-2019 00:00:00,58.17,3-6-2020 18:43:21,marco.putotto
RUB,30-9-2019 00:00:00,64.88,10-12-2019 16:29:45,Christophe.Fraulob
RUB,31-12-2019 00:00:00,62.11,27-2-2020 11:05:15,nawel.octave
RUB,31-3-2020 00:00:00,78.13,3-6-2020 19:22:17,marco.putotto
RUB,30-6-2020 00:00:00,71.25,7-9-2020 10:40:54,Kevin.Allamagbo
RUB,30-9-2020 00:00:00,77.60,24-11-2020 11:32:48,Kevin.Allamagbo
THB,31-12-2017 00:00:00,32.59,6-8-2018 15:44:16,guillaume.marois
THB,31-3-2018 00:00:00,31.24,6-8-2018 15:44:16,guillaume.marois
THB,30-6-2018 00:00:00,31.13,24-10-2018 15:49:23,guillaume.marois
THB,30-9-2018 00:00:00,31.13,13-11-2018 17:06:09,guillaume.marois
THB,31-12-2018 00:00:00,32.33,11-2-2019 11:59:04,guillaume.marois
THB,31-3-2019 00:00:00,31.13,27-5-2019 10:57:34,guillaume.marois
THB,30-6-2019 00:00:00,30.68,3-6-2020 18:43:21,marco.putotto
THB,30-9-2019 00:00:00,30.59,10-12-2019 16:29:45,Christophe.Fraulob
THB,31-12-2019 00:00:00,29.74,27-2-2020 11:05:15,nawel.octave
THB,31-3-2020 00:00:00,32.78,3-6-2020 19:22:17,marco.putotto
THB,30-6-2020 00:00:00,30.87,7-9-2020 10:40:54,Kevin.Allamagbo
THB,30-9-2020 00:00:00,31.59,24-11-2020 11:32:48,Kevin.Allamagbo
TJS,31-12-2018 00:00:00,9.43,11-2-2019 11:59:04,guillaume.marois
TJS,31-3-2019 00:00:00,9.42,27-5-2019 10:57:34,guillaume.marois
TJS,30-6-2019 00:00:00,9.42,3-6-2020 18:43:21,marco.putotto
TJS,30-9-2019 00:00:00,9.69,10-12-2019 16:29:45,Christophe.Fraulob
TJS,31-12-2019 00:00:00,9.68,27-2-2020 11:05:15,nawel.octave
TJS,31-3-2020 00:00:00,10.21,3-6-2020 19:22:17,marco.putotto
TJS,30-6-2020 00:00:00,10.31,7-9-2020 10:40:54,Kevin.Allamagbo
TJS,30-9-2020 00:00:00,10.31,24-11-2020 11:32:48,Kevin.Allamagbo
TND,31-12-2017 00:00:00,2.49,6-8-2018 15:44:16,guillaume.marois
TND,30-9-2019 00:00:00,2.79,10-12-2019 16:29:45,Christophe.Fraulob
TND,31-12-2019 00:00:00,2.77,27-2-2020 11:05:15,nawel.octave
TZS,31-12-2017 00:00:00,2245.00,6-8-2018 15:44:16,guillaume.marois
TZS,31-3-2018 00:00:00,2259.00,6-8-2018 15:44:16,guillaume.marois
TZS,30-6-2018 00:00:00,2192.02,24-10-2018 15:49:23,guillaume.marois
TZS,30-9-2018 00:00:00,2192.02,13-11-2018 17:06:09,guillaume.marois
TZS,31-12-2018 00:00:00,2300.00,11-2-2019 11:59:04,guillaume.marois
TZS,31-3-2019 00:00:00,2315.00,27-5-2019 10:57:34,guillaume.marois
TZS,30-6-2019 00:00:00,2300.00,3-6-2020 18:43:21,marco.putotto
TZS,30-9-2019 00:00:00,2298.00,10-12-2019 16:29:45,Christophe.Fraulob
TZS,31-12-2019 00:00:00,2298.00,27-2-2020 11:05:15,nawel.octave
TZS,31-3-2020 00:00:00,2315.00,3-6-2020 19:22:17,marco.putotto
TZS,30-6-2020 00:00:00,2318.00,7-9-2020 10:40:54,Kevin.Allamagbo
TZS,30-9-2020 00:00:00,2320.00,24-11-2020 11:32:48,Kevin.Allamagbo
USD,31-12-2017 00:00:00,1.00,6-8-2018 15:44:16,guillaume.marois
USD,31-3-2018 00:00:00,1.00,6-8-2018 15:44:16,guillaume.marois
USD,30-6-2018 00:00:00,1.00,24-10-2018 15:49:23,guillaume.marois
USD,30-9-2018 00:00:00,1.00,13-11-2018 17:06:09,guillaume.marois
USD,31-12-2018 00:00:00,1.00,11-2-2019 11:59:04,guillaume.marois
USD,31-3-2019 00:00:00,1.00,27-5-2019 10:57:34,guillaume.marois
USD,30-6-2019 00:00:00,1.00,17-8-2020 11:17:14,Kevin.Allamagbo
USD,30-9-2019 00:00:00,1.00,7-1-2020 00:00:00,Christophe.Fraulob
USD,31-12-2019 00:00:00,1.00,27-2-2020 11:05:15,nawel.octave
USD,31-3-2020 00:00:00,1.00,3-6-2020 19:22:17,marco.putotto
USD,30-6-2020 00:00:00,1.00,7-9-2020 10:40:54,Kevin.Allamagbo
UZS,30-9-2019 00:00:00,9515.09,7-1-2020 00:00:00,Christophe.Fraulob
UZS,31-12-2019 00:00:00,9516.37,27-2-2020 11:05:15,nawel.octave
UZS,31-3-2020 00:00:00,9554.22,3-6-2020 19:22:17,marco.putotto
UZS,30-6-2020 00:00:00,10173.38,7-9-2020 10:40:54,Kevin.Allamagbo
UZS,30-9-2020 00:00:00,10321.21,24-11-2020 11:32:48,Kevin.Allamagbo
XAF,30-9-2019 00:00:00,588.23,10-12-2019 16:29:45,Christophe.Fraulob
XAF,31-12-2019 00:00:00,584.37,27-2-2020 11:05:15,nawel.octave
XOF,31-12-2017 00:00:00,409.70,6-8-2018 15:44:16,guillaume.marois
XOF,31-3-2018 00:00:00,533.36,6-8-2018 15:44:16,guillaume.marois
XOF,30-6-2018 00:00:00,561.82,24-10-2018 15:49:23,guillaume.marois
XOF,30-9-2018 00:00:00,394.79,13-11-2018 17:06:09,guillaume.marois
XOF,31-12-2018 00:00:00,286.90,11-2-2019 11:59:04,guillaume.marois
XOF,31-3-2019 00:00:00,584.18,27-5-2019 10:57:34,guillaume.marois
XOF,30-6-2019 00:00:00,,3-6-2020 18:43:21,marco.putotto
XOF,30-9-2019 00:00:00,601.68,10-12-2019 16:29:45,Christophe.Fraulob
XOF,31-12-2019 00:00:00,584.37,27-2-2020 11:05:15,nawel.octave
XOF,31-3-2020 00:00:00,597.81,3-6-2020 19:22:17,marco.putotto
XOF,30-6-2020 00:00:00,584.03,7-9-2020 10:40:54,Kevin.Allamagbo
XOF,30-9-2020 00:00:00,559.38,24-11-2020 11:32:48,Kevin.Allamagbo
ZAR,30-6-2020 00:00:00,17.37,7-9-2020 10:40:54,Kevin.Allamagbo
ZAR,30-9-2020 00:00:00,16.68,24-11-2020 11:32:48,Kevin.Allamagbo
ZMW,31-12-2017 00:00:00,5.06,6-8-2018 15:44:16,guillaume.marois
ZMW,31-3-2018 00:00:00,9.47,6-8-2018 15:44:16,guillaume.marois
ZMW,30-9-2019 00:00:00,13.09,10-12-2019 16:29:45,Christophe.Fraulob
ZMW,31-12-2019 00:00:00,14.08,27-2-2020 11:05:15,nawel.octave
ZMW,31-3-2020 00:00:00,18.22,3-6-2020 19:22:17,marco.putotto
ZMW,30-6-2020 00:00:00,18.14,7-9-2020 10:40:54,Kevin.Allamagbo
ZMW,30-9-2020 00:00:00,20.01,24-11-2020 11:32:48,Kevin.Allamagbo
